# Target Pref 演化日志

| 时间 | 生物 | 平均条目 | 最大条目 | min~max | top偏好(源→目标=均值×种群数) |
|------|------|----------|----------|---------|------------------------------|
| 10 | 50 | 0.00 | 0 | 1.00~1.00 |  |
| 20 | 79 | 1.48 | 2 | 0.68~1.30 | (15→13=0.70×3) (13→14=1.30×1) (24→13=1.30×1) (-23→-24=1.30×2) (-5→-21=0.71×1) |
| 31 | 82 | 1.57 | 2 | 0.68~1.30 | (15→13=0.70×3) (13→14=1.30×1) (24→13=1.30×1) (-23→-24=1.30×2) (-5→-21=0.71×1) |
| 41 | 105 | 2.47 | 2 | 0.67~1.30 | (15→13=0.69×3) (24→13=1.30×2) (-23→-24=1.30×5) (-5→-21=0.71×1) (-16→-31=0.71×1) |
| 51 | 105 | 2.45 | 2 | 0.67~1.30 | (15→13=0.69×3) (24→13=1.30×2) (-23→-24=1.30×4) (-5→-21=0.71×1) (-16→-31=0.71×1) |
| 61 | 113 | 2.65 | 2 | 0.67~1.30 | (15→13=0.69×3) (2→28=0.70×2) (2→14=0.70×1) (24→13=1.30×3) (-23→-24=1.30×4) |
| 71 | 116 | 2.83 | 2 | 0.67~1.30 | (15→13=0.69×3) (2→28=0.70×2) (2→14=0.70×1) (24→13=1.30×3) (-23→-24=1.30×4) |
| 81 | 122 | 2.93 | 2 | 0.67~1.30 | (15→13=0.69×3) (2→28=0.70×2) (2→14=0.70×1) (-23→-24=1.30×5) (-5→-21=0.71×2) |
| 92 | 122 | 2.90 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×3) (2→14=0.70×1) (-23→-24=1.30×4) (-5→-21=0.71×2) |
| 102 | 125 | 3.02 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×3) (2→14=0.70×1) (-23→-24=1.30×5) (-5→-21=0.71×2) |
| 112 | 123 | 3.02 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×3) (2→14=0.70×1) (-23→-24=1.30×5) (-5→-21=0.71×2) |
| 123 | 122 | 3.07 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×3) (2→14=0.70×1) (-23→-24=1.30×5) (-5→-21=0.71×2) |
| 133 | 122 | 2.93 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×2) (2→14=0.70×1) (-23→-24=1.30×4) (-5→-21=0.71×2) |
| 143 | 118 | 2.89 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×2) (2→14=0.70×1) (-23→-24=1.30×4) (-5→-21=0.71×2) |
| 153 | 114 | 2.66 | 2 | 0.67~1.30 | (15→13=0.67×1) (2→28=0.68×1) (2→14=0.70×1) (-23→-24=1.30×4) (-5→-21=0.71×2) |
| 163 | 113 | 2.60 | 2 | 0.67~1.30 | (15→13=0.67×1) (2→14=0.70×1) (-23→-24=1.30×3) (-5→-21=0.71×2) (-16→-31=0.71×1) |
| 173 | 109 | 2.47 | 2 | 0.70~1.30 | (2→14=0.70×1) (-23→-24=1.30×3) (-5→-21=0.71×2) (-16→-31=0.71×1) (24→13=1.29×4) |
| 183 | 105 | 2.38 | 2 | 0.70~1.30 | (2→14=0.70×1) (-23→-24=1.30×2) (-5→-21=0.71×2) (-16→-31=0.71×1) (24→13=1.29×4) |
| 193 | 103 | 2.43 | 2 | 0.70~1.30 | (2→14=0.70×1) (-23→-24=1.30×2) (-5→-21=0.71×2) (-16→-31=0.71×1) (24→13=1.29×4) |
| 203 | 104 | 2.48 | 2 | 0.70~1.30 | (2→14=0.70×1) (-23→-24=1.30×2) (-5→-21=0.71×2) (-16→-31=0.71×1) (24→13=1.29×4) |
| 213 | 100 | 2.31 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×2) (-23→-24=1.30×2) |
| 223 | 101 | 2.31 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×2) (-23→-24=1.30×2) |
| 233 | 103 | 2.21 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×2) (-23→-24=1.30×1) |
| 243 | 104 | 2.20 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×2) (-23→-24=1.30×1) |
| 253 | 107 | 2.35 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×2) (-23→-24=1.30×1) |
| 263 | 108 | 2.29 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×1) (-23→-24=1.30×1) |
| 273 | 109 | 2.30 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×1) (-23→-24=1.30×1) |
| 284 | 108 | 2.29 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) |
| 294 | 107 | 2.32 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×1) |
| 304 | 109 | 2.44 | 2 | 0.69~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×1) |
| 315 | 109 | 2.50 | 2 | 0.69~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×1) |
| 325 | 108 | 2.43 | 2 | 0.69~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×1) |
| 335 | 109 | 2.50 | 2 | 0.69~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×1) |
| 346 | 111 | 2.51 | 2 | 0.69~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×2) |
| 356 | 111 | 2.36 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×2) (-5→-21=0.71×2) |
| 366 | 111 | 2.40 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×3) (-5→-21=0.71×2) |
| 377 | 109 | 2.35 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×3) (-5→-21=0.71×2) |
| 387 | 109 | 2.27 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×3) (-5→-21=0.71×2) |
| 397 | 110 | 2.36 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 408 | 110 | 2.34 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 418 | 114 | 2.42 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 428 | 117 | 2.50 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 439 | 115 | 2.47 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 449 | 114 | 2.40 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 459 | 117 | 2.47 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 470 | 115 | 2.43 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 480 | 116 | 2.38 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 490 | 116 | 2.28 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 501 | 114 | 2.31 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 511 | 116 | 2.28 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 521 | 114 | 2.19 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 531 | 114 | 2.17 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 541 | 114 | 2.17 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 551 | 115 | 2.12 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) (-5→-21=0.71×2) |
| 561 | 114 | 2.20 | 2 | 0.70~1.47 | (-16→-31=1.36×2) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) |
| 571 | 115 | 2.18 | 2 | 0.70~1.47 | (-16→-31=1.36×2) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) |
| 581 | 118 | 2.25 | 2 | 0.70~1.55 | (-9→1=1.42×2) (-16→-31=1.32×3) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) |
| 591 | 116 | 2.20 | 2 | 0.70~1.55 | (-9→1=1.42×2) (-16→-31=1.32×3) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) |
| 601 | 118 | 2.27 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) |
| 611 | 120 | 2.25 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) |
| 621 | 117 | 2.10 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) (-14→17=1.29×4) |
| 631 | 119 | 2.13 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (-1→23=1.30×2) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) |
| 641 | 120 | 2.12 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (-1→23=1.30×2) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) |
| 651 | 120 | 2.04 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (-1→23=1.30×2) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) |
| 661 | 120 | 2.00 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (-1→23=1.30×2) (13→23=0.70×1) (24→13=1.30×1) (-20→1=1.29×1) |
| 671 | 118 | 2.05 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (-1→23=1.30×1) (13→23=0.70×1) (24→13=1.30×1) (-14→17=1.29×2) |
| 681 | 119 | 2.08 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (-1→23=1.30×1) (13→23=0.70×1) (24→13=1.30×1) (-14→17=1.29×2) |
| 691 | 120 | 2.02 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (-1→23=1.30×1) (13→23=0.70×1) (24→13=1.30×1) (-14→17=1.29×2) |
| 701 | 123 | 2.06 | 1 | 0.70~1.47 | (-16→-31=1.32×3) (13→23=0.70×1) (24→13=1.30×1) (-14→17=1.29×2) (-19→-1=1.29×1) |
| 711 | 122 | 2.00 | 1 | 0.70~1.47 | (-16→-31=1.32×3) (13→23=0.70×1) (24→13=1.30×1) (-14→17=1.29×2) (-19→-1=1.29×1) |
| 721 | 127 | 2.33 | 2 | 0.71~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-14→17=1.29×2) (-19→-1=1.29×1) (9→4=1.29×3) |
| 731 | 130 | 2.48 | 3 | 0.71~1.47 | (21→-30=1.32×2) (-16→-31=1.32×3) (24→13=1.30×1) (-14→17=1.29×2) (-19→-1=1.29×1) |
| 741 | 133 | 2.74 | 3 | 0.61~1.47 | (-16→-31=1.32×3) (4→31=0.68×3) (24→13=1.30×1) (-14→17=1.29×2) (21→-30=1.29×3) |
| 751 | 136 | 2.89 | 3 | 0.61~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-14→17=1.29×2) (-19→-1=1.29×1) (9→4=1.29×6) |
| 761 | 137 | 2.71 | 3 | 0.61~1.47 | (-16→-31=1.32×3) (4→31=0.68×3) (24→13=1.30×1) (-14→17=1.29×2) (-10→4=1.29×1) |
| 771 | 135 | 2.67 | 3 | 0.61~1.47 | (-16→-31=1.32×3) (4→31=0.68×3) (24→13=1.30×1) (-14→17=1.29×2) (-10→4=1.29×1) |
| 781 | 138 | 2.68 | 3 | 0.61~1.47 | (-16→-31=1.32×3) (4→31=0.68×3) (24→13=1.30×1) (-14→17=1.29×2) (-10→4=1.29×1) |
| 791 | 138 | 2.64 | 3 | 0.61~1.47 | (-16→-31=1.32×3) (4→31=0.68×3) (24→13=1.30×1) (-14→17=1.29×2) (-10→4=1.29×1) |
| 801 | 139 | 2.65 | 3 | 0.61~1.47 | (-16→-31=1.32×3) (4→31=0.68×3) (24→13=1.30×1) (-14→17=1.29×2) (-10→4=1.29×1) |
| 811 | 140 | 2.68 | 3 | 0.61~1.47 | (-16→-31=1.32×3) (4→31=0.68×3) (24→13=1.30×1) (-22→-31=0.70×1) (-14→17=1.29×2) |
| 821 | 141 | 2.62 | 3 | 0.61~1.47 | (-16→-31=1.32×3) (4→31=0.68×3) (24→13=1.30×1) (-22→-31=0.70×1) (-14→17=1.29×2) |
| 831 | 140 | 2.49 | 3 | 0.70~1.47 | (21→-30=1.32×2) (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-14→17=1.29×2) |
| 841 | 140 | 2.49 | 3 | 0.70~1.47 | (21→-30=1.32×2) (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-14→17=1.29×2) |
| 851 | 139 | 2.50 | 3 | 0.70~1.47 | (21→-30=1.32×2) (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-14→17=1.29×2) |
| 861 | 138 | 2.52 | 3 | 0.70~1.47 | (21→-30=1.32×2) (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-14→17=1.29×2) |
| 871 | 136 | 2.52 | 3 | 0.70~1.47 | (21→-30=1.32×2) (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-14→17=1.29×2) |
| 881 | 133 | 2.35 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-14→17=1.29×2) (-10→4=1.29×1) |
| 891 | 132 | 2.39 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-14→17=1.29×3) (-10→4=1.29×1) |
| 901 | 137 | 2.42 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-14→17=1.29×3) (-19→-1=1.29×1) |
| 911 | 140 | 2.50 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-1→-6=1.30×1) (-14→17=1.29×4) |
| 921 | 139 | 2.62 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-1→-6=1.30×1) (-14→17=1.29×4) |
| 931 | 145 | 2.66 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-1→-6=1.30×1) (-14→17=1.29×5) |
| 941 | 146 | 2.58 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-1→-6=1.30×1) (-14→17=1.29×5) |
| 951 | 145 | 2.46 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-1→-6=1.30×1) (-14→17=1.29×5) |
| 961 | 147 | 2.40 | 2 | 0.70~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-1→-6=1.30×1) (-14→17=1.29×5) |
| 971 | 152 | 2.52 | 2 | 0.67~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-1→-6=1.30×1) (-14→17=1.29×5) |
| 981 | 152 | 2.52 | 2 | 0.67~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-1→-6=1.30×1) (-14→17=1.29×5) |
| 991 | 157 | 2.61 | 2 | 0.67~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (-1→-6=1.30×1) (-14→17=1.29×5) |
| 1001 | 160 | 2.66 | 2 | 0.67~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (18→18=0.70×1) (-1→-6=1.30×1) |
| 1011 | 161 | 2.68 | 2 | 0.67~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (18→18=0.70×1) (-1→-6=1.30×1) |
| 1021 | 162 | 2.69 | 2 | 0.67~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (18→18=0.70×1) (-1→-6=1.30×1) |
| 1031 | 160 | 2.65 | 2 | 0.67~1.47 | (-16→-31=1.32×3) (24→13=1.30×1) (-22→-31=0.70×2) (18→18=0.70×1) (-1→-6=1.30×1) |
| 1042 | 163 | 2.66 | 2 | 0.67~1.47 | (-16→-31=1.36×2) (24→13=1.30×1) (-22→-31=0.70×2) (9→-30=0.70×1) (18→18=0.70×1) |
| 1052 | 161 | 2.67 | 2 | 0.67~1.47 | (-16→-31=1.36×2) (24→13=1.30×1) (-22→-31=0.70×2) (9→-30=0.70×1) (18→18=0.70×1) |
| 1062 | 161 | 2.70 | 2 | 0.67~1.47 | (-16→-31=1.36×2) (3→-18=1.33×3) (24→13=1.30×1) (-22→-31=0.70×2) (9→-30=0.70×1) |
| 1073 | 162 | 2.79 | 2 | 0.66~1.47 | (-16→-31=1.36×2) (3→-18=1.32×4) (24→13=1.30×1) (-22→-31=0.70×2) (9→-30=0.70×1) |
| 1083 | 162 | 2.83 | 2 | 0.66~1.47 | (-16→-31=1.47×1) (3→-18=1.32×4) (24→13=1.30×1) (-22→-31=0.70×2) (9→-30=0.70×1) |
| 1093 | 164 | 2.95 | 2 | 0.66~1.47 | (-16→-31=1.47×1) (3→-18=1.32×4) (-9→-11=0.70×2) (-22→-31=0.70×2) (9→-30=0.70×1) |
| 1104 | 171 | 3.06 | 2 | 0.66~1.43 | (3→-18=1.31×5) (-9→-11=0.70×2) (-22→-31=0.70×2) (9→-30=0.70×1) (18→18=0.70×1) |
| 1114 | 169 | 3.02 | 2 | 0.67~1.43 | (3→-18=1.32×4) (24→13=1.30×1) (-22→-31=0.70×2) (9→-30=0.70×1) (18→18=0.70×1) |
| 1124 | 176 | 3.17 | 2 | 0.61~1.43 | (3→-18=1.32×4) (-5→-26=0.69×3) (24→13=1.30×1) (-22→-31=0.70×2) (9→-30=0.70×1) |
| 1135 | 179 | 3.30 | 2 | 0.61~1.43 | (-5→-26=0.68×4) (3→-18=1.31×5) (24→13=1.30×1) (-22→-31=0.70×2) (9→-30=0.70×1) |
| 1145 | 182 | 3.46 | 2 | 0.61~1.43 | (3→-18=1.31×5) (-5→-26=0.70×6) (24→13=1.30×1) (-19→-28=1.30×1) (-7→-8=1.30×1) |
| 1155 | 183 | 3.54 | 2 | 0.61~1.43 | (3→-18=1.31×5) (24→13=1.30×1) (-19→-28=1.30×1) (-5→-26=0.70×7) (-7→-8=1.30×1) |
| 1166 | 186 | 3.75 | 2 | 0.61~1.50 | (-10→25=1.35×2) (3→-18=1.31×5) (24→13=1.30×1) (-19→-28=1.30×2) (-7→-8=1.30×1) |
| 1176 | 185 | 3.63 | 2 | 0.61~1.50 | (-10→25=1.35×2) (3→-18=1.31×5) (24→13=1.30×1) (-19→-28=1.30×2) (-7→-8=1.30×1) |
| 1186 | 191 | 3.77 | 2 | 0.61~1.50 | (-10→25=1.35×2) (3→-18=1.31×5) (24→13=1.30×1) (-19→-28=1.30×2) (-7→-8=1.30×1) |
| 1197 | 197 | 3.85 | 2 | 0.61~1.50 | (-10→25=1.35×2) (3→-18=1.31×5) (24→13=1.30×1) (-19→-28=1.30×2) (-7→-8=1.30×1) |
| 1207 | 200 | 3.97 | 3 | 0.60~1.50 | (-10→25=1.35×2) (3→-18=1.31×5) (24→13=1.30×1) (-19→-28=1.30×2) (-7→-8=1.30×1) |
| 1217 | 208 | 4.18 | 3 | 0.60~1.50 | (-10→25=1.35×2) (3→-18=1.31×5) (24→13=1.30×1) (-19→-28=1.30×2) (-7→-8=1.30×1) |
| 1228 | 213 | 4.22 | 3 | 0.60~1.50 | (-10→25=1.35×2) (8→-27=1.34×1) (3→-18=1.31×5) (24→13=1.30×1) (-19→-28=1.30×2) |
| 1238 | 221 | 4.38 | 3 | 0.60~1.50 | (8→-27=1.34×1) (3→-18=1.31×6) (24→13=1.30×1) (-19→-28=1.30×1) (-7→-8=1.30×1) |
| 1248 | 223 | 4.42 | 3 | 0.60~1.50 | (8→-27=1.34×1) (3→-18=1.31×6) (-13→-28=0.70×1) (24→13=1.30×1) (-19→-28=1.30×1) |
| 1259 | 225 | 4.52 | 3 | 0.60~1.50 | (8→-27=1.34×1) (1→25=0.66×2) (3→-18=1.31×6) (-13→-28=0.70×1) (24→13=1.30×1) |
| 1269 | 224 | 4.51 | 3 | 0.60~1.50 | (8→-27=1.34×1) (3→-18=1.31×6) (-13→-28=0.70×1) (24→13=1.30×1) (-19→-28=1.30×1) |
| 1279 | 227 | 4.83 | 3 | 0.60~1.50 | (3→-18=1.31×5) (11→-25=1.31×3) (-13→-28=0.70×1) (24→13=1.30×1) (-19→-28=1.30×1) |
| 1290 | 227 | 4.89 | 3 | 0.60~1.50 | (3→-18=1.31×5) (11→-25=1.31×3) (-9→-11=0.70×1) (-13→-28=0.70×1) (24→13=1.30×1) |
| 1300 | 232 | 5.16 | 3 | 0.60~1.50 | (3→-18=1.31×5) (11→-25=1.31×3) (-9→-11=0.70×1) (-13→-28=0.70×1) (-19→-28=1.30×1) |
| 1310 | 228 | 5.14 | 3 | 0.60~1.50 | (3→-18=1.32×4) (11→-25=1.31×3) (-9→-11=0.70×1) (-13→-28=0.70×1) (-19→-28=1.30×1) |
| 1321 | 235 | 5.43 | 3 | 0.60~1.50 | (3→-18=1.32×4) (11→-25=1.31×3) (-9→-11=0.70×1) (-13→-28=0.70×1) (-19→-28=1.30×1) |
| 1331 | 236 | 5.55 | 4 | 0.60~1.50 | (3→-18=1.32×4) (11→-25=1.31×3) (-9→-11=0.70×1) (-13→-28=0.70×1) (-19→-28=1.30×1) |
| 1341 | 240 | 5.69 | 4 | 0.60~1.50 | (3→-18=1.32×4) (17→-11=0.70×1) (-9→-11=0.70×1) (-5→-26=0.70×36) (-13→-28=0.70×1) |
| 1352 | 246 | 5.75 | 4 | 0.60~1.50 | (3→-18=1.32×4) (17→-11=0.70×1) (-9→-11=0.70×1) (-13→-28=0.70×1) (-19→-28=1.30×1) |
| 1362 | 253 | 5.79 | 4 | 0.60~1.50 | (3→-18=1.32×4) (17→-11=0.70×1) (-5→-26=0.70×38) (-9→-11=0.70×1) (-13→-28=0.70×1) |
| 1372 | 258 | 5.88 | 4 | 0.60~1.47 | (3→-18=1.32×4) (17→-11=0.70×1) (-9→-11=0.70×1) (-13→-28=0.70×1) (-19→-28=1.30×1) |
| 1383 | 266 | 5.98 | 4 | 0.60~1.47 | (3→-18=1.32×4) (17→-11=0.70×1) (-9→-11=0.70×1) (-13→-28=0.70×1) (-19→-28=1.30×1) |
| 1393 | 267 | 6.10 | 4 | 0.60~1.48 | (3→-18=1.32×4) (17→-11=0.70×1) (-9→-11=0.70×1) (-13→-28=0.70×1) (-7→-8=1.30×1) |
| 1403 | 269 | 6.08 | 4 | 0.60~1.48 | (3→-18=1.33×3) (17→-11=0.70×1) (-9→-11=0.70×1) (-13→-28=0.70×1) (-7→-8=1.30×1) |
| 1414 | 274 | 6.41 | 4 | 0.60~1.48 | (3→-18=1.33×3) (-3→-27=1.32×3) (17→-11=0.70×1) (-9→-11=0.70×1) (-13→-28=0.70×1) |
| 1424 | 275 | 6.33 | 4 | 0.60~1.48 | (3→-18=1.33×3) (-3→-27=1.32×3) (1→25=0.69×17) (17→-11=0.70×1) (-9→-11=0.70×1) |
| 1434 | 279 | 6.53 | 4 | 0.60~1.48 | (3→-18=1.33×3) (1→25=0.68×19) (-3→-27=1.31×4) (17→-11=0.70×1) (-9→-11=0.70×1) |
| 1445 | 278 | 6.54 | 4 | 0.60~1.48 | (3→-18=1.35×2) (1→25=0.68×18) (-3→-27=1.31×4) (17→-11=0.70×1) (-9→-11=0.70×1) |
| 1455 | 275 | 6.59 | 4 | 0.60~1.48 | (3→-18=1.35×2) (1→25=0.68×18) (-3→-27=1.31×4) (17→-11=0.70×1) (-2→19=0.70×1) |
| 1465 | 276 | 6.53 | 4 | 0.60~1.48 | (3→-18=1.35×2) (1→25=0.68×18) (-3→-27=1.31×5) (17→-11=0.70×1) (-2→19=0.70×1) |
| 1476 | 280 | 6.71 | 4 | 0.60~1.48 | (-22→6=1.36×4) (3→-18=1.35×2) (1→25=0.68×19) (24→3=0.68×3) (-3→-27=1.31×5) |
| 1486 | 282 | 6.85 | 4 | 0.60~1.48 | (-22→6=1.38×5) (3→-18=1.35×2) (24→3=0.67×4) (1→25=0.68×20) (-3→-27=1.31×5) |
| 1496 | 290 | 7.12 | 4 | 0.60~1.48 | (-22→6=1.37×7) (3→-18=1.35×2) (1→25=0.68×22) (24→3=0.68×6) (-3→-27=1.31×5) |
| 1507 | 292 | 7.31 | 4 | 0.60~1.59 | (-22→6=1.38×8) (3→-18=1.35×2) (1→25=0.67×23) (24→3=0.68×7) (18→-14=1.32×15) |
| 1517 | 298 | 7.39 | 4 | 0.60~1.59 | (-22→6=1.37×9) (3→-18=1.35×2) (1→25=0.66×22) (18→-14=1.32×15) (24→3=0.69×8) |
| 1527 | 297 | 7.29 | 4 | 0.60~1.59 | (3→-18=1.35×2) (-22→6=1.35×7) (1→25=0.66×22) (18→-14=1.32×15) (-3→-27=1.31×5) |
| 1538 | 291 | 7.26 | 4 | 0.60~1.59 | (3→-18=1.35×2) (1→25=0.66×21) (-22→6=1.33×8) (18→-14=1.32×14) (-3→-27=1.31×4) |
| 1548 | 281 | 7.16 | 4 | 0.60~1.59 | (3→-18=1.35×2) (1→25=0.66×21) (-22→6=1.33×8) (18→-14=1.32×14) (-3→-27=1.31×4) |
